day,type,frequency
1,Theft,121
1,Cruelty,22
1,RashDriving,88
1,Counterfieting,66
1,Kidnapping,33
1,Murder,0
3,Theft,66
3,Cruelty,0
3,RashDriving,121
3,Counterfieting,66
3,Kidnapping,22
3,Murder,0
4,Theft,11
4,Cruelty,0
4,RashDriving,66
4,Counterfieting,99
4,Kidnapping,0
4,Murder,11
5,Theft,66
5,Cruelty,11
5,RashDriving,132
5,Counterfieting,77
5,Kidnapping,0
5,Murder,11
6,Theft,0
6,Cruelty,0
6,RashDriving,66
6,Counterfieting,77
6,Kidnapping,11
6,Murder,0
7,Theft,55
7,Cruelty,0
7,RashDriving,110
7,Counterfieting,121
7,Kidnapping,22
7,Murder,0
28,Theft,77
28,Cruelty,55
28,RashDriving,99
28,Counterfieting,286
28,Kidnapping,22
28,Murder,0
